frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,peak_detected,peak_accepted,cycle_dt,amp,best_high_y,peak_y
246,9.84,0.9227489233016968,56.98549997759983,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
247,9.88,0.9193160533905029,69.61150001734495,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
248,9.92,0.9310010075569153,61.58899998990819,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
249,9.96,0.8914667963981628,135.66420000279322,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
250,10.0,0.9116343259811401,391.75849995808676,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
251,10.04,0.9105912446975708,316.33649999275804,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
252,10.08,0.9002365469932556,146.7294999747537,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
253,10.12,0.9000909328460693,152.4772000266239,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
254,10.16,0.884343683719635,124.02799999108538,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
255,10.2,0.8867776393890381,159.64059997349977,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
256,10.24,0.8303883075714111,97.79490000801161,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
